id,x,y,poids,odeur,texture,type_sol,porosite,ph_du_jus,ph_du_sol,temperature_du_sol,presence_insecte,effet_au_toucher,a_l_air_delicieux_selon_renard
1,46.5185211570493,92.11988528932145,88.30830740570468,fruitée,rugueux,eau,0.7419293669006305,7.335818211336774,5.794625693764674,6.455303320963528,non,picottement,oui
2,102.24170250939262,35.1352013215667,96.5909078112632,terreuse,visqueux,eau,0.3895188405131909,7.061615621407362,6.104442381887068,15.365891453388889,non,irritation,oui
3,98.4224463932814,45.97068776603719,120.34299609025342,fruitée,rugueux,roche,0.7527729045974145,8.290888383977737,6.310928190298721,14.846649601001827,oui,irritation,oui
4,95.12754063838216,34.404093397507665,126.58774572233624,fruitée,rugueux,terre,0.7212440286857277,7.415450409764038,6.778530550777638,24.52105781480538,non,irritation,oui
5,99.3344545651275,39.35013919368082,75.40138235564717,épicée,lisse,arbre,0.9323722000353816,7.392589326210216,6.786218270563454,29.464864084342057,non,aucun,non
6,202.4620583253724,199.44817136851185,86.8382676546151,désagréable,visqueux,terre,0.8504928602912014,8.462160161409786,6.792985248246215,14.619771688741226,non,aucun,oui
7,88.39756474708906,32.5440197484347,76.75217562987119,fruitée,lisse,terre,0.5525869706429294,7.253300541788939,5.480852760068809,19.78591798704868,non,aucun,oui
8,83.3395422710536,33.79922379453589,96.24310976407985,épicée,lisse,roche,0.6488771914571083,5.71377037088587,5.081000514441074,10.949328736057849,non,aucun,oui
9,92.33696062722431,49.20348790183435,121.98876165068953,terreuse,lisse,roche,0.6941467446571236,6.593845458129653,5.023766392103921,11.611265531122818,non,brûlure,oui
10,97.35034435699546,23.695471461707456,76.64075119441779,terreuse,visqueux,eau,0.6345866580207393,7.486003296547465,5.800361655159668,19.186498742352963,non,irritation,non
11,199.5160631162982,199.95227486971157,81.83861550470456,fruitée,rugueux,roche,0.2304086919964402,6.184063683146116,5.48214160092365,15.279211335198866,non,brûlure,oui
12,96.87900812504245,47.0694904836268,107.81595241817176,terreuse,rugueux,terre,0.4774762550856058,6.978636103040719,5.443396266648348,23.35009621760683,non,aucun,oui
13,88.58619515689412,45.67715854521492,151.45909614823483,désagréable,rugueux,eau,0.8381609261069983,6.734097096077167,6.277721601861544,11.962125687526006,non,irritation,oui
14,93.331455602374,50.4167137990434,139.91565959245992,désagréable,rugueux,terre,0.7366184414686953,8.087019141714709,6.947527434058006,19.252216994900675,non,aucun,non
15,87.96645528268644,37.33194844295283,116.3114379473232,désagréable,rugueux,terre,0.603001542121948,7.14272197400064,6.371739410002198,17.649805928555743,non,irritation,non
16,89.86784160006971,48.297556248694015,95.47441683365994,fruitée,lisse,roche,0.7734746762094351,4.5611724122828425,4.218037614367905,17.781157171429168,non,brûlure,oui
